32300148276071;12-07-2025;;;2044;;;;;;;;;;2044
32300148276071;12-07-2025;;;1506;;;;;;;;;;1506
42300148438071;12-07-2025;;;2151;;;;;;;;;;2151
42300148438071;12-07-2025;;;0;;;;;;;;;;0
72300148417071;12-07-2025;;;2044;;;;;;;;;;2044
72300148417071;12-07-2025;;;1506;;;;;;;;;;1506
32300148436071;12-07-2025;;;5507;;;;;;;;;;5507
12300148379071;12-07-2025;;;1099;;;;;;;;;;1099
32300148399071;12-07-2025;;;2044;;;;;;;;;;2044
32300148399071;12-07-2025;;;6723;;;;;;;;;;6723
92300148381071;12-07-2025;;;6723;;;;;;;;;;6723
62300148351071;12-07-2025;;;2044;;;;;;;;;;2044
62300148351071;12-07-2025;;;6723;;;;;;;;;;6723
22300148370071;12-07-2025;;;4250;;;;;;;;;;4250
12300148491071;12-07-2025;;;2044;;;;;;;;;;2044
12300148491071;12-07-2025;;;6723;;;;;;;;;;6723
